full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Windy3f3f3f3f/how-claude-code-works,3230,3230,677,16,16,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
777genius/claude-code-source-code,920,920,1095,1,1,0,https://github.com/777genius/claude-code-source-code
RichardAtCT/claude-code-telegram,2735,2735,400,1,1,-1,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,3259,3259,378,1,1,1,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2744,2744,408,1,1,2,https://github.com/fuergaosi233/claude-code-proxy
kodu-ai/claude-coder,5258,5258,198,0,0,0,https://github.com/kodu-ai/claude-coder
asgeirtj/system_prompts_leaks,59129,59129,9646,216,216,29,https://github.com/asgeirtj/system_prompts_leaks
fazxes/Claude-code,225,225,215,0,0,0,https://github.com/fazxes/Claude-code
Yuyz0112/claude-code-reverse,2402,2402,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
SeemSeam/claude_codex_bridge,3289,3289,319,5,5,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2421,2421,500,10,10,2,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
multica-ai/andrej-karpathy-skills,194497,194497,20023,416,416,57,https://github.com/multica-ai/andrej-karpathy-skills
Cranot/claude-code-guide,2847,2847,320,-1,-1,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1624,1624,557,3,3,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2998,2998,292,7,7,2,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,535,535,814,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,916,916,612,0,0,0,https://github.com/anthropics/claude-code-base-action
AprilNEA/claude-code-source,392,392,610,0,0,0,https://github.com/AprilNEA/claude-code-source
repowise-dev/claude-code-prompts,1166,1166,388,3,3,0,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,61,61,212,0,0,0,https://github.com/guanshan/ClaudeCode
huangjia2019/claude-code-engineering,995,995,358,4,4,0,https://github.com/huangjia2019/claude-code-engineering
carlvellotti/claude-code-pm-course,2141,2141,352,0,0,1,https://github.com/carlvellotti/claude-code-pm-course
anthropics/skills,162813,162813,19292,301,301,27,https://github.com/anthropics/skills
JrCx7scC/claude-code-source,371,371,547,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1486,1486,284,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3799,3799,265,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
jqueryscript/awesome-claude-code,471,471,462,2,2,0,https://github.com/jqueryscript/awesome-claude-code
Yeachan-Heo/oh-my-claudecode,37902,37902,3420,23,23,4,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1510,1510,361,0,0,1,https://github.com/disler/pi-vs-claude-code
AICoderTudou/claude-code-tudou,497,497,395,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
feiskyer/claude-code-settings,1599,1599,239,2,2,0,https://github.com/feiskyer/claude-code-settings
andrew-kramer-inno/claude-code-source-build,595,595,519,0,0,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
VILA-Lab/Dive-into-Claude-Code,1959,1959,300,6,6,1,https://github.com/VILA-Lab/Dive-into-Claude-Code
darcyegb/ClaudeCodeAgents,748,748,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
krusemediallc/arcads-claude-code,1025,1025,279,3,3,2,https://github.com/krusemediallc/arcads-claude-code
ghuntley/claude-code-source-code-deobfuscation,986,986,550,-1,-1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
digitalsamba/claude-code-video-toolkit,1784,1784,297,5,5,0,https://github.com/digitalsamba/claude-code-video-toolkit
OrcaWhisper/Claude-Code,85,85,167,0,0,0,https://github.com/OrcaWhisper/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2532,2532,365,4,4,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
xu-xiang/everything-claude-code-zh,1699,1699,286,12,12,1,https://github.com/xu-xiang/everything-claude-code-zh
sugyan/claude-code-webui,1142,1142,251,0,0,-1,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2523,2523,238,3,3,0,https://github.com/centminmod/my-claude-code-setup
simonw/claude-code-transcripts,1617,1617,191,1617,1617,191,https://github.com/simonw/claude-code-transcripts
