full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
OneRedOak/claude-code-workflows,3880,3880,564,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5416,5416,709,11,11,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2933,2933,562,2,2,0,https://github.com/nicedreamzapp/claude-code-local
1rgs/claude-code-proxy,3683,3683,479,3,3,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4392,4392,445,4,4,0,https://github.com/zebbern/claude-code-guide
anthropics/claude-code-security-review,5522,5522,586,4,4,1,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1666,1666,639,6,6,1,https://github.com/lorryjovens-hub/claude-code-rust
rohitg00/awesome-claude-code-toolkit,2301,2301,795,5,5,-1,https://github.com/rohitg00/awesome-claude-code-toolkit
zstmfhy/Claude-code,190,190,284,0,0,-1,https://github.com/zstmfhy/Claude-code
affaan-m/ECC,228780,228780,35079,385,385,42,https://github.com/affaan-m/ECC
Maciek-roboblog/Claude-Code-Usage-Monitor,8432,8432,433,11,11,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
alejandrobalderas/claude-code-from-source,2698,2698,741,7,7,3,https://github.com/alejandrobalderas/claude-code-from-source
Windy3f3f3f3f/how-claude-code-works,3136,3136,665,11,11,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
disler/claude-code-hooks-mastery,3825,3825,628,3,3,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,920,920,1097,1,1,0,https://github.com/777genius/claude-code-source-code
fuergaosi233/claude-code-proxy,2721,2721,404,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3236,3236,374,0,0,-1,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2730,2730,402,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5257,5257,198,1,1,0,https://github.com/kodu-ai/claude-coder
fazxes/Claude-code,225,225,216,-1,-1,-1,https://github.com/fazxes/Claude-code
Yuyz0112/claude-code-reverse,2399,2399,406,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
SeemSeam/claude_codex_bridge,3244,3244,315,7,7,1,https://github.com/SeemSeam/claude_codex_bridge
Cranot/claude-code-guide,2843,2843,320,0,0,0,https://github.com/Cranot/claude-code-guide
multica-ai/andrej-karpathy-skills,191078,191078,19612,318,318,33,https://github.com/multica-ai/andrej-karpathy-skills
Windy3f3f3f3f/claude-code-from-scratch,2251,2251,482,7,7,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
luyao618/Claude-Code-Source-Study,1601,1601,553,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2966,2966,286,4,4,0,https://github.com/Chachamaru127/claude-code-harness
repowise-dev/claude-code-prompts,1155,1155,386,2,2,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,533,533,804,-1,-1,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
AprilNEA/claude-code-source,390,390,611,-1,-1,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,901,901,610,0,0,-1,https://github.com/anthropics/claude-code-base-action
anthropics/skills,160472,160472,18941,245,245,25,https://github.com/anthropics/skills
guanshan/ClaudeCode,61,61,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,371,371,547,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1481,1481,286,1,1,1,https://github.com/edmund-io/edmunds-claude-code
huangjia2019/claude-code-engineering,967,967,345,1,1,2,https://github.com/huangjia2019/claude-code-engineering
carlvellotti/claude-code-pm-course,2130,2130,349,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
Pimzino/claude-code-spec-workflow,3792,3792,265,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
jqueryscript/awesome-claude-code,463,463,450,1,1,4,https://github.com/jqueryscript/awesome-claude-code
Yeachan-Heo/oh-my-claudecode,37694,37694,3404,32,32,4,https://github.com/Yeachan-Heo/oh-my-claudecode
feiskyer/claude-code-settings,1586,1586,237,0,0,1,https://github.com/feiskyer/claude-code-settings
andrew-kramer-inno/claude-code-source-build,594,594,524,0,0,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,498,498,395,0,0,-1,https://github.com/AICoderTudou/claude-code-tudou
disler/pi-vs-claude-code,1477,1477,353,2,2,1,https://github.com/disler/pi-vs-claude-code
krusemediallc/arcads-claude-code,1001,1001,267,4,4,1,https://github.com/krusemediallc/arcads-claude-code
VILA-Lab/Dive-into-Claude-Code,1876,1876,286,18,18,4,https://github.com/VILA-Lab/Dive-into-Claude-Code
darcyegb/ClaudeCodeAgents,747,747,68,3,3,0,https://github.com/darcyegb/ClaudeCodeAgents
jeremylongshore/claude-code-plugins-plus-skills,2505,2505,359,7,7,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
router-for-me/CLIProxyAPI,40374,40374,6608,504,504,44,https://github.com/router-for-me/CLIProxyAPI
digitalsamba/claude-code-video-toolkit,1730,1730,294,5,5,1,https://github.com/digitalsamba/claude-code-video-toolkit
ghuntley/claude-code-source-code-deobfuscation,987,987,549,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
sugyan/claude-code-webui,1142,1142,248,0,0,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2504,2504,238,5,5,0,https://github.com/centminmod/my-claude-code-setup
alirezarezvani/claude-skills,22284,22284,3112,144,144,16,https://github.com/alirezarezvani/claude-skills
luongnv89/claude-howto,39689,39689,4793,46,46,5,https://github.com/luongnv89/claude-howto
OrcaWhisper/Claude-Code,83,83,163,83,83,163,https://github.com/OrcaWhisper/Claude-Code
